Date,Chamber,Number,MP,Constituency,Party,Statement
02/02/2010,Commons,1,Patrick Hall,Bedford,Lab,I am pleased to have secured this Adjournment debate about planned major improvements to a transport route that is of considerable importance not only to many of my constituents in Bedford and Kempston but to hundreds of thousands of other people along the route and those who use its many connections. It is also crucial to the economy of London and a wide area north and south of the capital.
02/02/2010,Commons,2,Patrick Hall,Bedford,Lab,"Since I first sought this debate, we have unfortunately experienced the serious deterioration of the rail service operated by First Capital Connect. Therefore, before completing my presentation, it would be entirely remiss of me not to take the opportunity to raise some points about that, not only to reflect the inconvenience suffered by my constituents and others but because what has happened raises some legitimate questions about capability to deliver the much improved service to passengers promised by the Thameslink programme. I shall return to those matters later."
02/02/2010,Commons,3,Patrick Hall,Bedford,Lab,"I am pleased to see many honourable Members present for this debate, especially fellow members of the all-party Thameslink route group my honourable Friends the Members for Crawley (Laura Moffatt), for Brighton, Pavilion (David Lepper) and for Luton, North (Kelvin Hopkins), and the honourable Member for Orpington (Mr. Horam) and others such as my honourable Friend the Member for Derby, North (Mr. Laxton). I apologise for not referring to the others who are here. I do not think that they have signed up to the all-party group, but they can do so later."
02/02/2010,Commons,4,Patrick Hall,Bedford,Lab,"Some of us have benefited from opportunities to inspect aspects of the Thameslink programme works, for which we are grateful to Network Rail, First Capital Connect and various construction companies. The Thameslink service has become such an accepted part of the transport infrastructure of south-east England that it is easy to forget how relatively recently it came about. The electrification of the midlands suburban route between St. Pancras, Moorgate and Bedford had already been started by a previous Labour Government in the late 1970s, when the idea of joining it up with what was then known as the Southern region began to be discussed."
02/02/2010,Commons,5,Patrick Hall,Bedford,Lab,"British Rail engineers devised a plan to reopen the Snow Hill tunnel route between Farringdon and Holborn Viaduct stations, a route that had not seen a passenger train since Lloyd George was in Downing street, and from which the last freight service had been withdrawn in 1970. The plan initially was for some kind of shuttle between West Hampstead and south London, but the project eventually grew to become Thameslink: a full-blown network of services linking Bedford and Luton in the north with Gatwick and Brighton in the south via the City of London, with an additional loop serving Wimbledon."
02/02/2010,Commons,6,Mr. Andrew Pelling,"Croydon, Central",Ind,"I apologise that I am not a member of the honourable Gentleman s all-party Thameslink route group. Someone who represents East Croydon station should definitely be a member of such a group. Would he agree that the small public sector investment in that station was important because it ended up relieving a great deal of stress and strain in terms of cross-London passenger traffic? Does that not emphasise how important it is for the Government to continue to be supportive of such initiatives? Huge amounts of money are being proposed for Crossrail, but north-south movements are just as important as east-west movements in the whole south-east and London area."
02/02/2010,Commons,7,Patrick Hall,Bedford,Lab,"The honourable Gentleman anticipates my comments, although I shall not speak against any other project. Crossrail is important as well, but I agree with the fundamental point that we must commit to this programme, and I will say so later on."
02/02/2010,Commons,8,Patrick Hall,Bedford,Lab,"I shall give a little of the history, because it is sometimes helpful to put things in that context. A special fleet of dual-voltage trains was ordered from British Rail Engineering which were able to draw electrical power from overhead cables north of Snow Hill and from the third rail to the south of it. Full service was introduced in 1988 and became an immediate success. Indeed, we all recognise that it quickly became the victim of its own success: overcrowding and standing room only became the norm at peak times. I would have liked to illustrate that with passenger numbers for 1988, when the service started, for 2000 and for last year, but, unfortunately and unacceptably, I have been informed that the Department for Transport will not release such figures on the grounds of commercial sensitivity."
02/02/2010,Commons,9,Patrick Hall,Bedford,Lab,"Whether overcrowding is official or not, commuters on the Thameslink route certainly have good reason to feel that they endure unacceptably overcrowded conditions at peak times. The Bedford to Brighton line features in the top 10 most crowded in every survey. Indeed, some research by Network Rail has revealed that 50 per cent. of regular peak-time Thameslink users claim that sometimes the train is so full that they cannot get on it at all. [Interruption.] Like London underground."
02/02/2010,Commons,10,Patrick Hall,Bedford,Lab,"Overcrowding was recognised by British Rail, which sought to address it and to widen the scope of the Thameslink service through the Thameslink 2000 programme, which, unfortunately, became mired in the fallout from the chaotic privatisation of the railways and also the complexity of dealing with issues around the Town and Country Planning Acts, especially in south-east London. But, eventually, thanks to the hard work and determination of many, mostly in the public sector, and the robustness of the business case itself, in 2007 the Government were able to give the go-ahead for the Thameslink programme."
02/02/2010,Commons,11,Patrick Hall,Bedford,Lab,"The main part of the Thameslink route covers 140 miles of railway and 50 stations between Bedford and Brighton. It interchanges with major rail hubs at St. Pancras and London Bridge, plus international airports at Luton and Gatwick. The core section, from St. Pancras to Blackfriars, carries more passengers than Heathrow airport every day. The Thameslink programme aims to deliver a massive increase in rail capacity through longer trains and high-frequency services, and, in so doing, should indirectly help to tackle overcrowding on other railway lines and parts of the London underground."
02/02/2010,Commons,12,Mr. Mark Field,Cities of London and Westminster,Con,"The honourable Gentleman rightly makes the case for the benefits of extending Thameslink to each and every one of the 50 stations from the Sussex coast up to mid and, indeed, north Bedfordshire, but does he recognise that ensuring that we have sufficient capacity in the centre of London this obviously applies to the Crossrail debate as well as to the Thameslink debate is of crucial importance if there is not to be the overcrowding to which he referred earlier?"
02/02/2010,Commons,13,Patrick Hall,Bedford,Lab,"Indeed, the whole of the programme is predicated upon delivering that capacity through engineering changes and improvements in the core, in central London."
02/02/2010,Commons,14,Patrick Hall,Bedford,Lab,"The scope of the Thameslink network opened up by engineering improvements in the core, which have just been referred to, will greatly increase beyond the Bedford-Brighton corridor, extending to Peterborough, Cambridge and King s Lynn in the north and to a large number of destinations south of London. Work is well under way in delivering the Thameslink programme. The first phase was completed on time and on budget in March 2009, and essentially prepared for the main construction phase that we are now in, but we should not take that preparation for granted, as it was all about enabling services to run as smoothly as possible during the main construction phase."
02/02/2010,Commons,15,Patrick Hall,Bedford,Lab,"We have already benefited from a superb new station at St. Pancras International, which replaced the appalling King s Cross Thameslink, and we will soon see delivery of a new station at Blackfriars, which will span the Thames. It will be ready in time for 2012. Farringdon station has been transformed, including preparation for an interchange with Crossrail, which will greatly increase connectivity for millions of people throughout the Thameslink network as well as east-west along Crossrail itself."
02/02/2010,Commons,16,Simon Hughes,North Southwark and Bermondsey,LD,"The honourable Gentleman knows that I have had disagreements with Thameslink over its choice of the route through London Bridge and the consequent potential effects on Borough market. The battle was fought and lost, so we will have to wait to see whether Borough market survives with the character that it has had. However, the extension from Blackfriars to the south bank is extremely welcome and will do what has been necessary for a long time to link that station to others, although it is a short walk to the Jubilee line, and to make all sorts of other connections possible. That is a very exciting opportunity, and those of us on the south bank look forward very much to the station s opening."
02/02/2010,Commons,17,Patrick Hall,Bedford,Lab,"I am sure they do. As far as the Thameslink programme is concerned, some people think that Bermondsey is the centre of the universe. I am pleased to see the honourable Member for North Southwark and Bermondsey (Simon Hughes) in the Chamber. I did not mention his name when I began my speech because I do not think that he was here then, but he is a welcome member of the all-party group that I mentioned."
02/02/2010,Commons,18,Patrick Hall,Bedford,Lab,"Outside London, work is proceeding to extend station platforms to accommodate the new 12-car trains. Phase 3 is London Bridge, which is the most congested place on the whole network: the result of the unplanned approach to railway construction in the capital during the 19th century, creating a railway headache that no one has really sought to tackle until now. London Bridge is crucial to the success of the programme and will unlock the railway and release capacity for 24 trains an hour through the core."
02/02/2010,Commons,19,Patrick Hall,Bedford,Lab,"I recently submitted 10 written parliamentary questions to the Department for Transport to check on the progress of this vital scheme. I compliment my honourable Friend the Minister on the fact that most were answered within 24 hours. I should have asked about passenger numbers and I will. His Department told me that some 1,500 construction workers are currently employed full time on the Thameslink programme, with a further 500 to 700 working part time."
02/02/2010,Commons,20,David Lepper,"Brighton, Pavilion",Lab/Co-op,"I suspect that my honourable Friend will give us some more information about the number of workers employed on the scheme. Does he share my concern that possible redundancies of some of Network Rail s engineering staff could compromise not only the Thameslink programme, but important maintenance work in the whole Southern region?"
02/02/2010,Commons,21,Patrick Hall,Bedford,Lab,"I understand that there are concerns about maintenance on the whole rail network. This is not the place to go into detail on that, although those concerns are certainly shared by many honourable Members. By having such a debate, we put these issues firmly on the agenda and help to get them addressed later, which I hope will happen."
