09/12/2002,Commons,1,Mr Ben Chapman,"Wirral, South",Lab,If he will make a statement on the future aircraft carrier project.
09/12/2002,Commons,2,Dr Lewis Moonie,The Parliamentary Under-Secretary of State for Defence,Lab,"The future aircraft carrier project is progressing well. The second stage of assessment ended on  20 November. By the end of January 2003, we plan to announce which, of BAE Systems or Thales Naval Ltd., is our preferred contractor for the programme."
09/12/2002,Commons,3,Mr Ben Chapman,"Wirral, South",Lab,"Although I of course congratulate the Government on the biggest shipbuilding programme since world war two, this project in particular has the potential for massive effects for decades to come. In selecting the prime contractor, will my honourable Friend tell me how he plans to weigh various factors, such as the effect on future warship exports, on the United Kingdom supply chain and UK subcontractors and on UK design capability and the extent of UK content and jobs?"
09/12/2002,Commons,4,Dr Lewis Moonie,The Parliamentary Under-Secretary of State for Defence,Lab,"I suppose the short answer would be ""very carefully,"" but my honourable Friend will want a bit more than that. Whichever of the contractors is successful, it is clear that throughout its design and manufacture the programme will sustain and create about 10,000 jobs across the United Kingdom. There will be up to 1,000 white-collar engineering design and managerial jobs, about 2,000 to 3,000 blue-collar jobs and a significant number of jobs throughout the supply chain. At the end of the day, the decision will be made on the basis of the track record of the two companies concerned, on how successfully they have performed in the past and are performing during the initial stages of the contract."
09/12/2002,Commons,5,Mr Mike Hancock,"Portsmouth, South",LD,"I am grateful to the Minister for his earlier response, but can he give a firm assurance that the Government will be able to write into the contract of the successful contender the insistence that all the yards currently in the bids will be given parts of the work for the two carriers? Can he also assure the House that the three aircraft currently designated to fly off the ships will be in service when the ships are in the water?"
09/12/2002,Commons,6,Dr Lewis Moonie,The Parliamentary Under-Secretary of State for Defence,Lab,"We are actually quite a long way from the ships being in the water and I am always a wee bit sceptical when Ministers stand up and make confident predictions, but it would appear from the success on both projects to date that the planes will be ready when the ships are operational. With regard to the yards bidding, it is difficult at present to say with certainty that everybody will get a share of the work. Obviously a certain amount of competition will be involved in deciding which part goes where. Furthermore, it does not take a genius to work out that if there are only three major sections and four yards are bidding, somebody will lose out at the end of the day. I can say, however, that I believe that all yards in this country that are capable of building those large modules will have a very good chance of securing work on the carriers."
09/12/2002,Commons,7,Syd Rapson,"Portsmouth, North",Lab,"Although it is MOD policy that the design and build of all Royal Navy warships will be carried out in the UK, can my honourable  Friend reassure the House by guaranteeing that the through-life support, which will last for 50 years, will also be carried out in the UK?"
09/12/2002,Commons,8,Dr Lewis Moonie,The Parliamentary Under-Secretary of State for Defence,Lab,"In short, yes."
30/01/2003,Commons,1,Geoffrey Hoon,The Secretary of State for Defence,Lab,"With permission, Mr. Speaker, I should like to make a statement on the future aircraft carrier programme. The 1998 strategic defence review set out the need to improve the capabilities of our armed forces to meet the challenges of a changing strategic environment. The new chapter to the strategic defence review, which builds on our operational experience since 1998 and takes account of events that followed the 11 September attacks, has reinforced those requirements. Our maritime forces need the ability to project power still further afield. We have therefore set out our most extensive shipbuilding programme for more than a generation. In the next few years, six Type 45 air defence destroyers, six new amphibious warfare vessels and other essential support ships will enter operational service. Two new, larger, more versatile aircraft carriers will be central to those new maritime capabilities. They will have a vital role in a wide range of military tasks, from peace support operations to high-intensity war fighting. They will offer a coercive presence that could contribute to conflict prevention and provide a flexible and rapidly deployable base when our forces need to operate without host nation support. As I announced last September, those ships will carry the world's most advanced stealthy and supersonic jump jets the United States-United Kingdom project for the joint strike fighter. At the same time, I announced that we had chosen an adaptable design for the carriers, which will allow us to make best use of the ships over their projected life of more than 50 years. Both decisions show the Government's determination to equip our armed forces with the capabilities that they need. The programme is massive and technically challenging, with the two ships alone costing around �3 billion. It will provide employment for up to 10,000 people throughout the United Kingdom. The warships will be the largest and most powerful vessels ever produced for the Royal Navy. At around 60,000 tonnes, they are approximately three times the size of our current carriers. They will rank alongside the most formidable and complex weapons systems deployed by any country anywhere in the world. The competition for the prime contract has been closely run between the two bidders, BAE Systems and Thales UK. Both are to be congratulated on their proposals to deliver the key new capability to our armed forces. Both are major defence suppliers to the Ministry of Defence. They each make an important contribution to the United Kingdom's economy, providing investment and employment in manufacturing and key science and technology areas. Thales UK employs around 12,000 people throughout the United Kingdom, and BAE Systems, including through its joint ventures, employs approximately 51,000. A competition of such complexity and scale necessarily involves intensive scrutiny of technical specifications, value for money and wider industrial benefits. We have used a continuous assessment process  to evaluate both companies' work and performance. We have assessed their ability to keep to their project schedules and to establish an appropriate relationship with the Ministry of Defence team. That pioneering process has provided us with a wealth of information to help our decision making. Two key findings emerge. First, both BAE Systems and Thales UK have performed to a very high standard. There is no doubt that competition has led to major benefits and sharpened the performance of both companies. The competition process has produced impressive designs. Secondly, if the carriers are to enter service on time, both companies would need to augment substantially their available design resources to achieve the necessary maturity before manufacturing can begin. Our detailed analysis shows that each company has significant strengths. BAE Systems has displayed a sound understanding of the project's complexities in its project management and prime contracting, and has developed a good relationship with all the key shipyards. It also demonstrated the skills that are necessary to integrate the different systems into an effective warship. Thales UK has provided an innovative design that is flexible enough to meet our needs. It has strengths in a number of key areas, including in weapon and defence systems and the interface between the ship, aircraft and flight deck operations. We have therefore decided that, to deliver value for money and provide the best capability, it is important and, indeed, sensible to exploit all those strengths. We judge that a partnership appears to offer the best means of drawing in the necessary resources and expertise to deliver a programme of such magnitude. We envisage that this alliance will be led by BAE Systems as the preferred prime contractor, with responsibility for project and shipbuilding management. Thales UK will assume a major role as the key supplier of the whole ship design. We foresee that the Ministry of Defence will also take up a formal role in the alliance for those parts of the programme for which we are rightly responsible. That would involve the management of appropriate risk and contingencies and the provision of assets such as suitably trained manpower and the JSF aircraft. This innovative approach builds on the principles of smart acquisition and the defence industrial policy that was published last October. It will enable us to make the most of the resources and strengths of both companies and the skills and expertise of the Ministry of Defence project team. Both BAE Systems and Thales UK have indicated their willingness in principle to participate in such an alliance. The approach will be based on proper customer and supplier relationships, working collaboratively to achieve challenging targets. It will be underpinned by a robust contractual arrangement. Risk will be allocated to the party best suited to manage and mitigate that risk and the rewards will be shared so that it is in the interests  of all parties for the programme to succeed. Further work will be required with both companies to establish the detailed contractual arrangements. Subject to reaching a satisfactory outcome to these negotiations, and with subsequent confidence that the alliance is operating effectively during the final part of the assessment phase, we intend to reach the final investment decision in spring 2004. At that stage, we will place the prime contract and permit the alliance to move into the demonstration and manufacture phase, when the ships will actually be built. We remain fully committed to achieving our declared in-service dates for both ships in 2012 and 2015 respectively. I anticipate that honourable Members will be particularly interested in the shipbuilding element of the carrier programme. We believe at this stage that the best way forward is for the carriers to be built by a combination of four yards: BAE Systems Marine at Govan, Vosper Thornycroft at Portsmouth, Swan Hunter on Tyneside, and Babcock BES at Rosyth. The involvement of other yards has not been ruled out. The precise arrangements will be the subject of discussions between the alliance and the yards, to determine the best value for money and work load capacity. We anticipate that the engines will be provided by Rolls-Royce. It is clear that the benefits for the United Kingdom shipbuilding industry and its related supplier chain across the country are significant. I can assure honourable Members that, despite recent suggestions to the contrary, the vessels will be designed and built in the United Kingdom. This vast programme of work should create or sustain up to 10,000 jobs right across the country. It offers a significant opportunity not only for the shipbuilding industry, but for many small and medium-sized companies all around the United Kingdom. For example, the Bath-based company British Maritime Technology has played a key role in developing the Thales UK design. Other companies, such as specialist paint suppliers and engineering firms, will also have the opportunity to engage in the programme as it progresses. Ultimately, hundreds of suppliers right across the United Kingdom will be able to participate. Today's announcement by the Government is good news for our armed forces and good news for the nation's defence. It demonstrates the Government's support for the British manufacturing industry and for British jobs, and I commend it to the House."
30/01/2003,Commons,2,Mr. Bernard Jenkin,North Essex,Con,"I thank the Secretary of State for his statement and for giving me a copy in advance, but I have to say to him that this is not so much a decision as a fudge. The addition of two full-sized aircraft carriers to the Royal Navy's fleet, along with the introduction of the new joint strike fighter, will represent a huge increase in Britain's ability to project, sustain and protect military force anywhere in the world. So we welcome any progress towards the launch of the new ships, but we fear that this programme is now beset by uncertainty. First and not least, there is the vexed issue of money. Can the Secretary of State guarantee that the money for those ships will be available without the need to cut other programmes? The armed forces and the equipment budget are already overstretched. It is clear from the forward defence equipment plans that there is  far more on the Government's shopping list than current defence spending levels will support, alongside all of the UK's other defence commitments. Secondly, the Secretary of State describes his announcement as ""innovative"", but he is being a little modest. He has not so much announced a decision as the start of a whole new process: the formation of an as yet ill-defined alliance that is entirely unformed and agreed only ""in principle"". He remains committed to the in-service dates of 2012 and 2015 dates that are long after he is likely to have departed but if in a year's time his proposed alliance is judged not to be operating successfully, as he put it, where will that leave the Government's programme? The so-called smart procurement policy was meant to avoid the vexed issue of work sharing. This project started out as a clear competition, but has not the Secretary of State bottled out in the past few weeks by unexpectedly deciding to split the work between the two main competitors? Is he not now effectively saying that Thales won the competition, but that British Aerospace is the prime contractor and has to adopt the Thales design? What is the basis for deciding the split of work, and is it subject to ministerial direction? Will the contract be arbitrated under English or French law, and who will ultimately be responsible for achieving project milestones and holding to budget? Does not this decision artificially to split the contract have very serious implications for the way in which future defence competitions should be conducted? Is it not the truth that the Secretary of State could never have justified awarding the whole project to a French company, given that there is no possibility of the French Government's ever allowing British companies to compete on the same terms in France? Should he not have realised that at the outset, rather than discovering it only now? We recognise that Thales UK is a major UK investor and employer, and that work placed with it will create British jobs in British factories, but some work will certainly go to France. I merely ask whether the Secretary of State shares the anxiety of many in our defence industries that UK companies simply do not have the same opportunities to buy companies, and to compete in French markets on the same terms. In return for nominating Thales as a ""key supplier"" the company is still effectively owned and controlled by the French Government what is President Chirac giving Britain, except a regular kick in the teeth for the Prime Minister on issues such as agricultural reform, his outrageous invitation to President Mugabe and his determination to split NATO over the issue of Iraq? Will the Secretary of State now agree that the company to which he periodically refers as ""British"" Aerospace is in fact a British company? Will there now be an end to the unseemly public criticism of what is Europe's largest defence contractor and one of our biggest industrial employers and export earners, from which he has carelessly wiped millions in stock market value? This decision raises many questions about the future of defence procurement policy, which the Government will have to address. The final order for those ships is important for British industry and vital for the future of UK defence, but today's announcement by the Government has introduced more risk and more  uncertainty not just for this project but, by implication, for the entire defence equipment programme."
